group	name	id	model_size	seed	min_steps	max_steps	total_steps	selected
pythia-14m_3kv6crxx	ip-26-0-149-246-0	ggjp6fm7	14m	1	1	63	63	False
pythia-14m_wi22ql21	ip-26-0-144-150-0	jtsljaoj	14m	1	1	143000	143000	True
pythia-14m_nwndy40r	ip-26-0-144-150-0	q72jl2x5	14m	2	1	143000	143000	True
pythia-14m_rgh72080	ip-26-0-156-120-0	khu6r64g	14m	3	1	143000	143000	True
pythia-14m_adskb1rh	ip-26-0-156-120-0	nb29awnu	14m	4	1	143000	143000	True
pythia-14m_rxn4wgdu	ip-10-0-193-153-0	4rt7nevs	14m	5	1	143000	143000	True
pythia-14m_lw4t07fl	ip-10-0-223-125-0	ezm250q7	14m	6	1	143000	143000	True
pythia-14m_sgifdd6x	ip-10-0-223-125-0	3nd98xii	14m	7	1	143000	143000	True
pythia-14m_fud51gt7	ip-10-0-193-153-0	b32hu6ry	14m	8	1	143000	143000	True
pythia-14m_8sof3g8g	ip-10-0-223-125-0	pdrehtr0	14m	9	1	143000	143000	True
pythia-160m_nuxqtbwh	ip-26-0-149-177-0	s5lcpsmk	160m	4	1	61185	61185	False
pythia-160m_thztpfqh	ip-26-0-149-177-0	pxnucujw	160m	4	61001	61150	150	False
pythia-160m_wsm6fevt	ip-26-0-147-108-0	bvgfairr	160m	4	61001	143000	82000	False
pythia-160m_phd3bh82	ip-10-0-240-111-0	sbbfii02	160m	5	1	143000	143000	True
pythia-160m_ylm603a3	ip-10-0-240-111-0	zoitguxc	160m	6	1	143000	143000	True
pythia-160m_5m0lrwm0	ip-10-0-240-111-0	sfwmacn2	160m	7	1	143000	143000	True
pythia-160m_julypzhu	ip-10-0-240-111-0	5phpkbn0	160m	8	1	143000	143000	True
pythia-160m_gt0pvdfi	ip-10-0-240-111-0	tgxpz5vf	160m	9	1	22623	22623	False
pythia-160m_sbbrjma2	ip-10-0-234-247-0	ltth4fo7	160m	9	22001	22008	8	False
pythia-160m_7mcfiiny	ip-10-0-209-150-0	jx20g49d	160m	9	22001	31647	9647	False
pythia-160m_wre4xrua	ip-10-0-202-154-0	7x6bxp03	160m	9	31001	143000	112000	False
pythia-410m_ro9x1raa	ip-26-0-145-217-0	19q117bl	410m	1	1	10000	10000	False
pythia-410m_h1l7wvtu	ip-26-0-153-16-0	27b33l1z	410m	1	10001	29000	19000	False
pythia-410m_mhaeuarh	ip-26-0-153-16-0	orszntfg	410m	1	29001	30000	1000	False
pythia-410m_fov11z4i	ip-26-0-147-227-0	blj1r3f6	410m	1	30001	32000	2000	False
pythia-410m_5drww1kq	ip-26-0-144-52-0	kmcc8qij	410m	1	32001	41000	9000	False
pythia-410m_at4vr57z	ip-26-0-144-52-0	uh6g3j75	410m	1	41001	105000	64000	False
pythia-410m_dfvtt9ae	ip-26-0-144-52-0	musv09z2	410m	1	105001	116000	11000	False
pythia-410m_h8j9qzcl	ip-26-0-148-159-0	31w18xkr	410m	1	116001	143000	27000	False
pythia-410m_m4gqxy7p	ip-26-0-144-140-0	ag3olz7e	410m	2	1	3000	3000	False
pythia-410m_muoy3bvl	ip-26-0-157-51-0	xhk9jiyh	410m	2	3001	4000	1000	False
pythia-410m_yrbmyi1m	ip-26-0-144-150-0	sh1dh1gw	410m	2	4001	29000	25000	False
pythia-410m_urmcdaui	ip-26-0-144-150-0	kyvvp4l5	410m	2	29001	50000	21000	False
pythia-410m_4uahrxjx	ip-26-0-144-81-0	8xfhg0co	410m	2	50001	88000	38000	False
pythia-410m_lps17ton	ip-26-0-155-102-0	9pr8y136	410m	2	88001	143000	55000	False
pythia-410m_qi8uil1z	ip-26-0-146-54-0	3d86u6la	410m	3	1	7000	7000	False
