Model size	Name	ID	Group	Seed
14m	ip-26-0-144-150-0	jtsljaoj	pythia-14m_wi22ql21	1
14m	ip-26-0-144-150-0	q72jl2x5	pythia-14m_nwndy40r	2
14m	ip-26-0-156-120-0	khu6r64g	pythia-14m_rgh72080	3
14m	ip-26-0-156-120-0	nb29awnu	pythia-14m_adskb1rh	4
14m	ip-10-0-193-153-0	4rt7nevs	pythia-14m_rxn4wgdu	5
14m	ip-10-0-223-125-0	ezm250q7	pythia-14m_lw4t07fl	6
14m	ip-10-0-223-125-0	3nd98xii	pythia-14m_sgifdd6x	7
14m	ip-10-0-193-153-0	b32hu6ry	pythia-14m_fud51gt7	8
14m	ip-10-0-223-125-0	pdrehtr0	pythia-14m_8sof3g8g	9
70m	ip-26-0-137-96-0	32t0zbcs 	v2 70M_1ephjcv4	0
70m	ip-10-0-229-135-0	jzi01nuy	pythia-70m_n21sfp5b	1
70m	ip-26-0-144-140-0	sm56qsnz	pythia-70m_ks5ej680	1
70m	ip-10-0-232-68-0	i60750mk	pythia-70m_b4ollid6	2
70m	ip-26-0-145-68-0	gunqayk2	pythia-70m_rk7ayzq3	2
70m	ip-10-0-241-124-0	50p6gk7r	pythia-70m_coubrav3	3
70m	ip-26-0-147-26-0	0ydn3v9s	pythia-70m_017w6lbn	3
70m	ip-10-0-241-124-0	2aqefqnj	pythia-70m_u36ldt2p	4
70m	ip-26-0-147-26-0	8diojab5	pythia-70m_jzruj3ew	4
70m	ip-10-0-222-35-0	225n4ps1	pythia-70m_vrkas6zh	5
70m	ip-10-0-193-57-0	ipfi7s4u	pythia-70m_p0jwf2vk	5
70m	ip-10-0-241-124-0	14gk4quk	pythia-70m_92qy03qz	6
70m	ip-10-0-249-101-0	45ocvxbz	pythia-70m_cv1wxp2e	6
70m	ip-10-0-241-124-0	sjrt0303	pythia-70m_12ozmo5c	7
70m	ip-10-0-195-235-0	047975e1	pythia-70m_q10tcnzl	7
70m	ip-10-0-201-106-0	9ugck98l	pythia-70m_nst0l0ku	8
70m	ip-10-0-251-175-0	5nfajvpw	pythia-70m_zmigoner	8
70m	ip-10-0-231-1-0	l2ui5xws	pythia-70m_cat910n6	9
160m	ip-26-0-129-223-0	3mvtbwii 	v2 160M_3j6ymzmx	0
160m	ip-26-0-147-108-0	bvgfairr	pythia-160m_wsm6fevt	4
160m	ip-10-0-240-111-0	sbbfii02	pythia-160m_phd3bh82	5
160m	ip-10-0-240-111-0	zoitguxc	pythia-160m_ylm603a3	6
160m	ip-10-0-240-111-0	sfwmacn2	pythia-160m_5m0lrwm0	7
160m	ip-10-0-240-111-0	5phpkbn0	pythia-160m_julypzhu	8
160m	ip-10-0-202-154-0	7x6bxp03	pythia-160m_wre4xrua	9
410m	ip-26-0-128-115-0	12j05401 	v2-410m_1dz9o23i	0
410m	ip-26-0-148-159-0	31w18xkr	pythia-410m_h8j9qzcl	1
410m	ip-26-0-155-102-0	9pr8y136	pythia-410m_lps17ton	2
410m	ip-10-0-193-153-0	vjl8rypi	pythia-410m_xhekvdjj	3
410m	ip-10-0-194-0-0	3gnddce8	pythia-410m_m5kk3yzi	4
410m	ip-10-0-193-57-0	on4ltenu	pythia-410m_sq338hax	6
410m	ip-10-0-193-57-0	pwxct54i	pythia-410m_ki54mu0y	8
