	score	state	step	seed	group
0	-1.1311438344908555	0	0	0	[0, 1, 2, 5, 6, 7, 8, 9]
1	-1.1333608231497374	0	1	0	[0, 1, 2, 5, 6, 7, 8, 9]
2	-1.1284617970340594	0	2	0	[0, 1, 2, 5, 6, 7, 8, 9]
3	-1.1087956959729748	0	4	0	[0, 1, 2, 5, 6, 7, 8, 9]
4	-1.1063713456210778	0	8	0	[0, 1, 2, 5, 6, 7, 8, 9]
5	-1.1339652304512846	0	16	0	[0, 1, 2, 5, 6, 7, 8, 9]
6	-1.1600295746171292	0	32	0	[0, 1, 2, 5, 6, 7, 8, 9]
7	-1.1964541713445063	0	64	0	[0, 1, 2, 5, 6, 7, 8, 9]
8	-1.1188381932972618	0	128	0	[0, 1, 2, 5, 6, 7, 8, 9]
9	-1.1097918419281199	0	256	0	[0, 1, 2, 5, 6, 7, 8, 9]
10	-1.0169179053406179	0	512	0	[0, 1, 2, 5, 6, 7, 8, 9]
11	-0.7582967282289548	0	1000	0	[0, 1, 2, 5, 6, 7, 8, 9]
12	0.20363238802208017	0	3000	0	[0, 1, 2, 5, 6, 7, 8, 9]
13	0.6614519478132557	1	13000	0	[0, 1, 2, 5, 6, 7, 8, 9]
14	0.7154811886275999	1	23000	0	[0, 1, 2, 5, 6, 7, 8, 9]
15	0.8649518742700983	2	33000	0	[0, 1, 2, 5, 6, 7, 8, 9]
16	0.9264197438929951	2	43000	0	[0, 1, 2, 5, 6, 7, 8, 9]
17	0.9290062320237904	2	53000	0	[0, 1, 2, 5, 6, 7, 8, 9]
18	1.0229746676794755	2	63000	0	[0, 1, 2, 5, 6, 7, 8, 9]
19	1.04343261859099	3	73000	0	[0, 1, 2, 5, 6, 7, 8, 9]
20	1.037043939063556	3	83000	0	[0, 1, 2, 5, 6, 7, 8, 9]
21	1.051438469730287	3	93000	0	[0, 1, 2, 5, 6, 7, 8, 9]
22	1.0823587224827482	3	103000	0	[0, 1, 2, 5, 6, 7, 8, 9]
23	1.1101850542876885	4	113000	0	[0, 1, 2, 5, 6, 7, 8, 9]
24	1.089256382768065	4	123000	0	[0, 1, 2, 5, 6, 7, 8, 9]
25	1.1331142015216429	4	133000	0	[0, 1, 2, 5, 6, 7, 8, 9]
26	1.1012682986868065	4	143000	0	[0, 1, 2, 5, 6, 7, 8, 9]
27	-1.1050197649145854	0	0	1	[0, 1, 2, 5, 6, 7, 8, 9]
28	-1.1050197649145854	0	1	1	[0, 1, 2, 5, 6, 7, 8, 9]
29	-1.1022851576067334	0	2	1	[0, 1, 2, 5, 6, 7, 8, 9]
30	-1.1076140894165858	0	4	1	[0, 1, 2, 5, 6, 7, 8, 9]
31	-1.116314987613219	0	8	1	[0, 1, 2, 5, 6, 7, 8, 9]
32	-1.180634142744737	0	16	1	[0, 1, 2, 5, 6, 7, 8, 9]
33	-1.1520590022963393	0	32	1	[0, 1, 2, 5, 6, 7, 8, 9]
34	-1.1702795253261702	0	64	1	[0, 1, 2, 5, 6, 7, 8, 9]
35	-1.1315781614166704	0	128	1	[0, 1, 2, 5, 6, 7, 8, 9]
36	-1.113572300443779	0	256	1	[0, 1, 2, 5, 6, 7, 8, 9]
37	-1.0229750248127707	0	512	1	[0, 1, 2, 5, 6, 7, 8, 9]
38	-0.7190074870833704	0	1000	1	[0, 1, 2, 5, 6, 7, 8, 9]
39	0.11050686963286521	0	3000	1	[0, 1, 2, 5, 6, 7, 8, 9]
40	0.6243694394103864	1	13000	1	[0, 1, 2, 5, 6, 7, 8, 9]
41	0.7781691256085219	1	23000	1	[0, 1, 2, 5, 6, 7, 8, 9]
42	0.8148516050749897	2	33000	1	[0, 1, 2, 5, 6, 7, 8, 9]
43	0.8834143148084456	2	43000	1	[0, 1, 2, 5, 6, 7, 8, 9]
44	0.92935085258582	2	53000	1	[0, 1, 2, 5, 6, 7, 8, 9]
45	1.019050611614262	2	63000	1	[0, 1, 2, 5, 6, 7, 8, 9]
46	0.9970500770197177	3	73000	1	[0, 1, 2, 5, 6, 7, 8, 9]
47	1.0074459209650046	3	83000	1	[0, 1, 2, 5, 6, 7, 8, 9]
48	0.9851466042167489	3	93000	1	[0, 1, 2, 5, 6, 7, 8, 9]
49	1.000743647595089	3	103000	1	[0, 1, 2, 5, 6, 7, 8, 9]
50	1.060411927847255	4	113000	1	[0, 1, 2, 5, 6, 7, 8, 9]
51	1.0580737046238218	4	123000	1	[0, 1, 2, 5, 6, 7, 8, 9]
52	1.0448472547878256	4	133000	1	[0, 1, 2, 5, 6, 7, 8, 9]
53	1.0158801777684623	4	143000	1	[0, 1, 2, 5, 6, 7, 8, 9]
54	-1.0270911552015491	0	0	2	[0, 1, 2, 5, 6, 7, 8, 9]
55	-1.029308143860431	0	1	2	[0, 1, 2, 5, 6, 7, 8, 9]
56	-1.024874166542667	0	2	2	[0, 1, 2, 5, 6, 7, 8, 9]
57	-1.0337915754006755	0	4	2	[0, 1, 2, 5, 6, 7, 8, 9]
58	-1.0572728822464228	0	8	2	[0, 1, 2, 5, 6, 7, 8, 9]
59	-1.072581523454374	0	16	2	[0, 1, 2, 5, 6, 7, 8, 9]
60	-1.141466752622291	0	32	2	[0, 1, 2, 5, 6, 7, 8, 9]
61	-1.1467319190909238	0	64	2	[0, 1, 2, 5, 6, 7, 8, 9]
62	-1.1051600477204362	0	128	2	[0, 1, 2, 5, 6, 7, 8, 9]
63	-1.1157211411087256	0	256	2	[0, 1, 2, 5, 6, 7, 8, 9]
64	-1.0726540541010252	0	512	2	[0, 1, 2, 5, 6, 7, 8, 9]
65	-0.7260565608374022	0	1000	2	[0, 1, 2, 5, 6, 7, 8, 9]
66	0.13451345071727516	0	3000	2	[0, 1, 2, 5, 6, 7, 8, 9]
67	0.6861095909706074	1	13000	2	[0, 1, 2, 5, 6, 7, 8, 9]
68	0.8565533558390329	1	23000	2	[0, 1, 2, 5, 6, 7, 8, 9]
69	0.8388110021551138	2	33000	2	[0, 1, 2, 5, 6, 7, 8, 9]
70	0.9019414428061467	2	43000	2	[0, 1, 2, 5, 6, 7, 8, 9]
71	0.9370587771809433	2	53000	2	[0, 1, 2, 5, 6, 7, 8, 9]
72	0.9825283597549739	2	63000	2	[0, 1, 2, 5, 6, 7, 8, 9]
73	0.9747626065253614	3	73000	2	[0, 1, 2, 5, 6, 7, 8, 9]
74	1.0382644505496423	3	83000	2	[0, 1, 2, 5, 6, 7, 8, 9]
75	1.0441730151676634	3	93000	2	[0, 1, 2, 5, 6, 7, 8, 9]
76	1.039883497377246	3	103000	2	[0, 1, 2, 5, 6, 7, 8, 9]
77	1.0527067320139314	4	113000	2	[0, 1, 2, 5, 6, 7, 8, 9]
78	1.0378879628084796	4	123000	2	[0, 1, 2, 5, 6, 7, 8, 9]
79	1.0609513074716208	4	133000	2	[0, 1, 2, 5, 6, 7, 8, 9]
80	1.0744958194678231	4	143000	2	[0, 1, 2, 5, 6, 7, 8, 9]
81	-1.0868032287027343	0	0	3	[3, 4]
82	-1.0868032287027343	0	1	3	[3, 4]
83	-1.0933490549772693	0	2	3	[3, 4]
84	-1.0837612821501363	0	4	3	[3, 4]
85	-1.0547569238134897	0	8	3	[3, 4]
86	-1.0862606850251575	0	16	3	[3, 4]
87	-1.1376016967804128	0	32	3	[3, 4]
88	-1.16366953787568	0	64	3	[3, 4]
89	-1.1428403792251085	0	128	3	[3, 4]
90	-1.1469175630756463	0	256	3	[3, 4]
91	-1.0816560602852532	0	512	3	[3, 4]
92	-0.7282593495444863	1	1000	3	[3, 4]
93	0.14921319774194017	1	3000	3	[3, 4]
94	0.6760416381536264	2	13000	3	[3, 4]
95	0.7078721273784746	2	23000	3	[3, 4]
96	0.8236776734066347	4	33000	3	[3, 4]
97	0.8297669683528688	4	43000	3	[3, 4]
98	0.9228960078014511	4	53000	3	[3, 4]
99	0.9481405447626086	4	63000	3	[3, 4]
100	0.9981531288107662	4	73000	3	[3, 4]
101	0.3940862553205372	1	83000	3	[3, 4]
102	0.5741630895778816	1	93000	3	[3, 4]
103	0.6662501045053526	1	103000	3	[3, 4]
104	0.758260541673808	1	113000	3	[3, 4]
105	0.7712127522944916	1	123000	3	[3, 4]
106	0.7880713654975817	1	133000	3	[3, 4]
107	0.8149453916263091	1	143000	3	[3, 4]
108	-1.1175583661018385	0	0	4	[3, 4]
109	-1.1175583661018385	0	1	4	[3, 4]
110	-1.1174532263997266	0	2	4	[3, 4]
111	-1.1154941227631108	0	4	4	[3, 4]
112	-1.0926354680428165	0	8	4	[3, 4]
113	-1.1459212723159478	0	16	4	[3, 4]
114	-1.1721456621658708	0	32	4	[3, 4]
115	-1.1389281135999223	0	64	4	[3, 4]
116	-1.1509493857473125	0	128	4	[3, 4]
117	-1.1505596936155185	0	256	4	[3, 4]
118	-1.0732294964431708	0	512	4	[3, 4]
119	-0.7195052700129606	0	1000	4	[3, 4]
120	0.11860935770329574	1	3000	4	[3, 4]
121	0.6808626318658098	1	13000	4	[3, 4]
122	0.786391268720992	2	23000	4	[3, 4]
123	0.8392656271114225	2	33000	4	[3, 4]
124	0.9919765657422519	2	43000	4	[3, 4]
125	0.9499106088492307	2	53000	4	[3, 4]
126	0.9983039517312252	2	63000	4	[3, 4]
127	1.0058694140733715	4	73000	4	[3, 4]
